Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (1).jpg,0.48938891291618347,0.7175757884979248,-9.44060884648934e-05,0.432902991771698,0.6716374754905701,-0.07049901783466339,0.40629926323890686,0.5709750652313232,-0.11334238946437836,0.4732738435268402,0.5058131217956543,-0.14632393419742584,0.5394418239593506,0.49138227105140686,-0.162634015083313,0.43712347745895386,0.46096861362457275,-0.044963207095861435,0.4195529520511627,0.3422471284866333,-0.09866393357515335,0.4132837653160095,0.2621285915374756,-0.13679227232933044,0.41086339950561523,0.1898660659790039,-0.16956153512001038,0.4932483732700348,0.4511512815952301,-0.05162331834435463,0.4929831922054291,0.3268906772136688,-0.08963778614997864,0.4907486140727997,0.23794278502464294,-0.12656588852405548,0.489185094833374,0.16395974159240723,-0.14774537086486816,0.5459334254264832,0.4753398597240448,-0.06753581017255783,0.5623536705970764,0.36313122510910034,-0.10719013214111328,0.5756826996803284,0.28081953525543213,-0.1524965614080429,0.5879477858543396,0.20937606692314148,-0.17880414426326752,0.5911339521408081,0.5261911749839783,-0.09140916913747787,0.6365188956260681,0.4571164846420288,-0.13423821330070496,0.6732396483421326,0.4085612893104553,-0.16721342504024506,0.7082525491714478,0.35866159200668335,-0.18253828585147858,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (2).jpg,0.4862709641456604,0.736743688583374,-0.00011274202552158386,0.42590636014938354,0.6843869686126709,-0.06396929919719696,0.40477854013442993,0.5729183554649353,-0.09965639561414719,0.47762662172317505,0.5031112432479858,-0.12740644812583923,0.5417978763580322,0.4962312579154968,-0.13988834619522095,0.43593132495880127,0.46885332465171814,-0.027549518272280693,0.41943490505218506,0.3497768044471741,-0.08066561818122864,0.412203311920166,0.2684118449687958,-0.1191534623503685,0.4098165035247803,0.1961573362350464,-0.14966121315956116,0.4922786355018616,0.458303838968277,-0.036642514169216156,0.49093717336654663,0.33321887254714966,-0.07554678618907928,0.48769378662109375,0.2420412302017212,-0.1134081780910492,0.48707064986228943,0.16942864656448364,-0.13249053061008453,0.545196533203125,0.48172158002853394,-0.05471142753958702,0.5621589422225952,0.36842554807662964,-0.09432265162467957,0.5739920735359192,0.2845052480697632,-0.13709291815757751,0.5871237516403198,0.21352817118167877,-0.15852177143096924,0.5904533267021179,0.5330490469932556,-0.08120010048151016,0.636508047580719,0.461476594209671,-0.12185417115688324,0.6721678972244263,0.4103142023086548,-0.15205982327461243,0.7077414393424988,0.35929468274116516,-0.1635139286518097,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (3).jpg,0.4849161207675934,0.7431151866912842,-0.00014147054753266275,0.4226643145084381,0.6882022619247437,-0.06442000716924667,0.4020135998725891,0.5682368278503418,-0.0938510075211525,0.48105576634407043,0.4956844747066498,-0.1169261559844017,0.5499556064605713,0.48908933997154236,-0.12657904624938965,0.4335837960243225,0.4703724980354309,-0.017935631796717644,0.41595497727394104,0.3501281142234802,-0.06393502652645111,0.4090333580970764,0.2664678692817688,-0.09869024157524109,0.4079459607601166,0.19443124532699585,-0.12491282820701599,0.4906007647514343,0.4593352675437927,-0.02267235517501831,0.4907131493091583,0.33625784516334534,-0.05250890925526619,0.48580482602119446,0.2447989135980606,-0.08590979129076004,0.4840508699417114,0.17472180724143982,-0.10133244097232819,0.543003261089325,0.48240038752555847,-0.03653118014335632,0.5641775131225586,0.3713105320930481,-0.07013992965221405,0.5726844072341919,0.2882271707057953,-0.11115837842226028,0.582844614982605,0.22038310766220093,-0.1293218731880188,0.5881381630897522,0.5350197553634644,-0.05999890714883804,0.6371604204177856,0.4612114429473877,-0.09791681170463562,0.6725293397903442,0.40933987498283386,-0.12575164437294006,0.7089405059814453,0.36143165826797485,-0.13395000994205475,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (4).jpg,0.48814937472343445,0.7293986082077026,-0.0001160837709903717,0.4279865026473999,0.6842952370643616,-0.06772290915250778,0.40095004439353943,0.5743796229362488,-0.1063060462474823,0.4723753333091736,0.5083101987838745,-0.1361876279115677,0.5370815992355347,0.49625363945961,-0.14784593880176544,0.4334406554698944,0.46909457445144653,-0.03375769779086113,0.41699501872062683,0.3526849150657654,-0.08600477129220963,0.4106385111808777,0.27173978090286255,-0.12176340818405151,0.40946903824806213,0.20036891102790833,-0.15144117176532745,0.4902997314929962,0.45737653970718384,-0.04226855933666229,0.4897916913032532,0.33578407764434814,-0.08213644474744797,0.4870024025440216,0.24709945917129517,-0.11957164108753204,0.48620161414146423,0.17476442456245422,-0.13883832097053528,0.5435624122619629,0.4805540144443512,-0.059722766280174255,0.5603302121162415,0.3683251440525055,-0.10112132877111435,0.5712335705757141,0.2867206335067749,-0.1469605267047882,0.5825265049934387,0.21552012860774994,-0.1719789355993271,0.5899004936218262,0.5325412154197693,-0.0858602225780487,0.6355506777763367,0.46168187260627747,-0.12828195095062256,0.6716551780700684,0.4111674427986145,-0.16027015447616577,0.7074075937271118,0.35977262258529663,-0.17421169579029083,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (5).jpg,0.4825601577758789,0.7387646436691284,-0.00012139212776673958,0.4221692681312561,0.6856964230537415,-0.06576912850141525,0.4022041857242584,0.5665500164031982,-0.1025434359908104,0.4802069067955017,0.4983005225658417,-0.1340007483959198,0.5477853417396545,0.493056058883667,-0.15163441002368927,0.43497103452682495,0.4660709798336029,-0.023669064044952393,0.4165217876434326,0.3482811450958252,-0.07389187812805176,0.40911930799484253,0.2658092677593231,-0.10947971045970917,0.4076482057571411,0.19442376494407654,-0.13574524223804474,0.4918902814388275,0.45647478103637695,-0.0319955088198185,0.4910334348678589,0.33583128452301025,-0.06650028377771378,0.48518022894859314,0.24435225129127502,-0.10049809515476227,0.4824991226196289,0.17388173937797546,-0.1151086613535881,0.5444675087928772,0.4816442131996155,-0.049876000732183456,0.5649450421333313,0.3695521950721741,-0.08807769417762756,0.5729884505271912,0.284976065158844,-0.13096749782562256,0.5824771523475647,0.21527007222175598,-0.1500561684370041,0.5893250703811646,0.5368338227272034,-0.07685137540102005,0.637108564376831,0.46109431982040405,-0.11675478518009186,0.6732539534568787,0.4095921218395233,-0.14552243053913116,0.7102999687194824,0.36157768964767456,-0.15436051785945892,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (6).jpg,0.4846075475215912,0.7386849522590637,-0.0001348010409856215,0.42688047885894775,0.6903802156448364,-0.06475786864757538,0.40192902088165283,0.578447699546814,-0.10006242245435715,0.47298842668533325,0.5079430341720581,-0.12770214676856995,0.5395313501358032,0.5019837021827698,-0.13904398679733276,0.43427929282188416,0.47267258167266846,-0.025825493037700653,0.41669905185699463,0.3539087474346161,-0.07715552300214767,0.4093995690345764,0.273101806640625,-0.11453952640295029,0.40774720907211304,0.20037639141082764,-0.14584822952747345,0.49096035957336426,0.46097418665885925,-0.03447164595127106,0.4898524582386017,0.3356375992298126,-0.07221625000238419,0.4865250289440155,0.24612198770046234,-0.11044400930404663,0.4864131808280945,0.17398184537887573,-0.12998858094215393,0.5438447594642639,0.4840027987957001,-0.05227149277925491,0.5605087280273438,0.3701799809932709,-0.09104335308074951,0.570943295955658,0.28696390986442566,-0.1336965411901474,0.5827661752700806,0.21628910303115845,-0.15581277012825012,0.5897905826568604,0.53474360704422,-0.07890599220991135,0.6360816955566406,0.4629960060119629,-0.11800985783338547,0.6717606782913208,0.41234591603279114,-0.14738111197948456,0.7080049514770508,0.3607906997203827,-0.15847276151180267,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (7).jpg,0.48546215891838074,0.7434248924255371,-0.00011476720101200044,0.42321377992630005,0.6899011135101318,-0.062145110219717026,0.3995233178138733,0.5730685591697693,-0.09557350724935532,0.4775780141353607,0.5062974691390991,-0.1234823539853096,0.5465279221534729,0.5071237683296204,-0.13146242499351501,0.4340747594833374,0.4745096266269684,-0.022180313244462013,0.4161919951438904,0.3562350273132324,-0.06954749673604965,0.4085402190685272,0.2736089527606964,-0.10170059651136398,0.40640532970428467,0.2005508542060852,-0.12712359428405762,0.4906904995441437,0.4633191227912903,-0.029696350917220116,0.4894399344921112,0.3387777507305145,-0.06445357948541641,0.4833577275276184,0.24890702962875366,-0.09942708164453506,0.48001930117607117,0.1786171793937683,-0.11465656757354736,0.5434585213661194,0.4852439761161804,-0.04599129781126976,0.5594478845596313,0.3720412254333496,-0.08167743682861328,0.5660370588302612,0.2891370356082916,-0.12275991588830948,0.5741477608680725,0.22073298692703247,-0.1418340504169464,0.5889228582382202,0.5353649258613586,-0.07092487066984177,0.636305034160614,0.46167537569999695,-0.10532816499471664,0.6719722747802734,0.41225019097328186,-0.13212236762046814,0.7075538635253906,0.364748477935791,-0.14100594818592072,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (8).jpg,0.4858380854129791,0.7379711866378784,-9.679189679445699e-05,0.4239022135734558,0.6910607218742371,-0.06676626205444336,0.3993159234523773,0.5785410404205322,-0.10287557542324066,0.476130872964859,0.5117408633232117,-0.1314980834722519,0.5442489981651306,0.5028276443481445,-0.13978515565395355,0.43310150504112244,0.47523799538612366,-0.02875436656177044,0.4151495397090912,0.3573063015937805,-0.0784476175904274,0.40763333439826965,0.2748401165008545,-0.1143161952495575,0.4060136377811432,0.20161911845207214,-0.14328956604003906,0.4905557632446289,0.46363499760627747,-0.03594572842121124,0.48983681201934814,0.34106767177581787,-0.07232028245925903,0.4832306504249573,0.2517516016960144,-0.11072686314582825,0.4791063964366913,0.18114221096038818,-0.1301673948764801,0.5437379479408264,0.48547834157943726,-0.05152179300785065,0.5622801780700684,0.37231022119522095,-0.08967813849449158,0.5696370601654053,0.28850671648979187,-0.13624800741672516,0.5780859589576721,0.21853885054588318,-0.16085650026798248,0.5893568992614746,0.5357698798179626,-0.07602261006832123,0.636824369430542,0.4640486240386963,-0.11455333232879639,0.6739979982376099,0.4148187041282654,-0.14444267749786377,0.7118747234344482,0.3668324649333954,-0.15591149032115936,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (9).jpg,0.4842880368232727,0.7534542083740234,-0.00015068872016854584,0.4224317669868469,0.6968984007835388,-0.0650959461927414,0.40105921030044556,0.5726004242897034,-0.09504655003547668,0.48097366094589233,0.501166820526123,-0.12031903117895126,0.5497916340827942,0.5020138025283813,-0.1323760449886322,0.4330221712589264,0.4753662943840027,-0.01614380069077015,0.41488218307495117,0.35547560453414917,-0.0625259131193161,0.40756767988204956,0.27199769020080566,-0.09676089882850647,0.40558403730392456,0.20035919547080994,-0.12275730818510056,0.49009275436401367,0.46511197090148926,-0.02097223699092865,0.491129994392395,0.3414772152900696,-0.04989016801118851,0.48656171560287476,0.2511376738548279,-0.08140915632247925,0.48483896255493164,0.18262669444084167,-0.094589464366436,0.5426287055015564,0.48908722400665283,-0.03567710518836975,0.562983512878418,0.37769603729248047,-0.07053607702255249,0.5706072449684143,0.29514825344085693,-0.1100262999534607,0.5804134011268616,0.2271510362625122,-0.12620419263839722,0.5882232785224915,0.5421770215034485,-0.06002804636955261,0.6368978023529053,0.46608513593673706,-0.09778860211372375,0.6705107688903809,0.4142173230648041,-0.12405224144458771,0.7049660086631775,0.36640915274620056,-0.1310422718524933,4
C:\Thesis\Hand Detection\Zilani\Sign 4\Image frames\Sign_4 - Frame (10).jpg,0.48009517788887024,0.7569390535354614,-0.00013783846225123852,0.41939711570739746,0.6965299248695374,-0.06348245590925217,0.40082260966300964,0.5771154761314392,-0.0944855734705925,0.4783044457435608,0.5069511532783508,-0.11885082721710205,0.5428308248519897,0.5049440264701843,-0.12929177284240723,0.43353891372680664,0.47864747047424316,-0.022992881014943123,0.4148673117160797,0.35886770486831665,-0.06921935081481934,0.4069264233112335,0.275654673576355,-0.10531896352767944,0.40463152527809143,0.20272931456565857,-0.13357459008693695,0.49054908752441406,0.469182550907135,-0.02876562625169754,0.49181368947029114,0.3447599411010742,-0.06090085580945015,0.4873775839805603,0.25309139490127563,-0.09839484840631485,0.4853004217147827,0.18293985724449158,-0.1172124370932579,0.5426956415176392,0.4932405650615692,-0.042750973254442215,0.5639647841453552,0.37936243414878845,-0.07701275497674942,0.5730844140052795,0.2952413558959961,-0.12121798098087311,0.5836492776870728,0.22662648558616638,-0.14298714697360992,0.587262749671936,0.5465426445007324,-0.0657627210021019,0.6355174779891968,0.47077676653862,-0.10313788801431656,0.6696326732635498,0.4177142381668091,-0.1323147416114807,0.7045605182647705,0.36820992827415466,-0.14251968264579773,4
